"Travel motives";"Population";"Travel modes";"Margins";"Region characteristics";"Periods";"Average per person per year/Trips (number)";"Average per person per year/Distance travelled    (passenger kilometres )";"Average per person per year/Time travelled     (hours)"
"Total";"Population 6 years or older";"Total";"Value";"The Netherlands";"2018";1015;13200;453,8
"Total";"Population 6 years or older";"Total";"Value";"The Netherlands";"2019";989;13140;452,6
"Total";"Population 6 years or older";"Total";"Value";"The Netherlands";"2020";861;9105;378
"Total";"Population 6 years or older";"Total";"Value";"The Netherlands";"2021";915;9942;424,9
"Total";"Population 6 years or older";"Total";"Value";"The Netherlands";"2022";984;11027;442,2
"Total";"Population 6 years or older";"Total";"Value";"The Netherlands";"2023";992;11669;447,2
"Total";"Population 6 years or older";"Total";"Value";"Groningen (PV)";"2018";1024;13675;448,4
"Total";"Population 6 years or older";"Total";"Value";"Groningen (PV)";"2019";961;14514;457,3
"Total";"Population 6 years or older";"Total";"Value";"Groningen (PV)";"2020";831;9786;377,5
"Total";"Population 6 years or older";"Total";"Value";"Groningen (PV)";"2021";880;11121;421,1
"Total";"Population 6 years or older";"Total";"Value";"Groningen (PV)";"2022";958;12272;437,9
"Total";"Population 6 years or older";"Total";"Value";"Groningen (PV)";"2023";994;11468;437,6
"Total";"Population 6 years or older";"Total";"Value";"Fryslân (PV)";"2018";986;15548;460,5
"Total";"Population 6 years or older";"Total";"Value";"Fryslân (PV)";"2019";958;15886;456,3
"Total";"Population 6 years or older";"Total";"Value";"Fryslân (PV)";"2020";918;10804;386,9
"Total";"Population 6 years or older";"Total";"Value";"Fryslân (PV)";"2021";908;11725;423
"Total";"Population 6 years or older";"Total";"Value";"Fryslân (PV)";"2022";998;13286;462,9
"Total";"Population 6 years or older";"Total";"Value";"Fryslân (PV)";"2023";995;13285;439,8
"Total";"Population 6 years or older";"Total";"Value";"Drenthe (PV)";"2018";1028;15725;444,7
"Total";"Population 6 years or older";"Total";"Value";"Drenthe (PV)";"2019";1027;14716;452,3
"Total";"Population 6 years or older";"Total";"Value";"Drenthe (PV)";"2020";880;10298;367,2
"Total";"Population 6 years or older";"Total";"Value";"Drenthe (PV)";"2021";952;11675;439,5
"Total";"Population 6 years or older";"Total";"Value";"Drenthe (PV)";"2022";982;12940;456,2
"Total";"Population 6 years or older";"Total";"Value";"Drenthe (PV)";"2023";988;13763;438,4
"Total";"Population 6 years or older";"Total";"Value";"Overijssel (PV)";"2018";1049;13861;438,9
"Total";"Population 6 years or older";"Total";"Value";"Overijssel (PV)";"2019";1023;14121;441,9
"Total";"Population 6 years or older";"Total";"Value";"Overijssel (PV)";"2020";886;9539;377,6
"Total";"Population 6 years or older";"Total";"Value";"Overijssel (PV)";"2021";956;10288;417,8
"Total";"Population 6 years or older";"Total";"Value";"Overijssel (PV)";"2022";1045;11662;434,7
"Total";"Population 6 years or older";"Total";"Value";"Overijssel (PV)";"2023";1054;12487;439,1
"Total";"Population 6 years or older";"Total";"Value";"Flevoland (PV)";"2018";980;15685;465,4
"Total";"Population 6 years or older";"Total";"Value";"Flevoland (PV)";"2019";930;15197;432,4
"Total";"Population 6 years or older";"Total";"Value";"Flevoland (PV)";"2020";820;11011;376,1
"Total";"Population 6 years or older";"Total";"Value";"Flevoland (PV)";"2021";853;11861;413,9
"Total";"Population 6 years or older";"Total";"Value";"Flevoland (PV)";"2022";911;13128;432,5
"Total";"Population 6 years or older";"Total";"Value";"Flevoland (PV)";"2023";936;13211;441,6
"Total";"Population 6 years or older";"Total";"Value";"Gelderland (PV)";"2018";1044;13992;455
"Total";"Population 6 years or older";"Total";"Value";"Gelderland (PV)";"2019";1016;13853;459
"Total";"Population 6 years or older";"Total";"Value";"Gelderland (PV)";"2020";905;10000;381,6
"Total";"Population 6 years or older";"Total";"Value";"Gelderland (PV)";"2021";947;10859;427,8
"Total";"Population 6 years or older";"Total";"Value";"Gelderland (PV)";"2022";1046;12014;456,9
"Total";"Population 6 years or older";"Total";"Value";"Gelderland (PV)";"2023";1036;12746;451,1
"Total";"Population 6 years or older";"Total";"Value";"Utrecht (PV)";"2018";1056;13825;469,2
"Total";"Population 6 years or older";"Total";"Value";"Utrecht (PV)";"2019";1026;14656;467,4
"Total";"Population 6 years or older";"Total";"Value";"Utrecht (PV)";"2020";888;9726;392,2
"Total";"Population 6 years or older";"Total";"Value";"Utrecht (PV)";"2021";937;10366;433,5
"Total";"Population 6 years or older";"Total";"Value";"Utrecht (PV)";"2022";1021;11585;452,8
