travelmotives,population,travelmodes,margins,regioncharacteristics,periods,averageperpersonperyeartripsnumber,averageperpersonperyeardistancetravelledpassengerkilometres,averageperpersonperyeartimetravelledhours
Total,Population 6 years or older,Total,Value,The Netherlands,2018.0,1015.0,13200.0,453.8
Total,Population 6 years or older,Total,Value,The Netherlands,2019.0,989.0,13140.0,452.6
Total,Population 6 years or older,Total,Value,The Netherlands,2020.0,861.0,9105.0,378.0
Total,Population 6 years or older,Total,Value,The Netherlands,2021.0,915.0,9942.0,424.9
Total,Population 6 years or older,Total,Value,The Netherlands,2022.0,984.0,11027.0,442.2
Total,Population 6 years or older,Total,Value,The Netherlands,2023.0,992.0,11669.0,447.2
Total,Population 6 years or older,Total,Value,Groningen (PV),2018.0,1024.0,13675.0,448.4
Total,Population 6 years or older,Total,Value,Groningen (PV),2019.0,961.0,14514.0,457.3
Total,Population 6 years or older,Total,Value,Groningen (PV),2020.0,831.0,9786.0,377.5
Total,Population 6 years or older,Total,Value,Groningen (PV),2021.0,880.0,11121.0,421.1
Total,Population 6 years or older,Total,Value,Groningen (PV),2022.0,958.0,12272.0,437.9
Total,Population 6 years or older,Total,Value,Groningen (PV),2023.0,994.0,11468.0,437.6
Total,Population 6 years or older,Total,Value,Fryslân (PV),2018.0,986.0,15548.0,460.5
Total,Population 6 years or older,Total,Value,Fryslân (PV),2019.0,958.0,15886.0,456.3
Total,Population 6 years or older,Total,Value,Fryslân (PV),2020.0,918.0,10804.0,386.9
Total,Population 6 years or older,Total,Value,Fryslân (PV),2021.0,908.0,11725.0,423.0
Total,Population 6 years or older,Total,Value,Fryslân (PV),2022.0,998.0,13286.0,462.9
Total,Population 6 years or older,Total,Value,Fryslân (PV),2023.0,995.0,13285.0,439.8
Total,Population 6 years or older,Total,Value,Drenthe (PV),2018.0,1028.0,15725.0,444.7
Total,Population 6 years or older,Total,Value,Drenthe (PV),2019.0,1027.0,14716.0,452.3
Total,Population 6 years or older,Total,Value,Drenthe (PV),2020.0,880.0,10298.0,367.2
Total,Population 6 years or older,Total,Value,Drenthe (PV),2021.0,952.0,11675.0,439.5
Total,Population 6 years or older,Total,Value,Drenthe (PV),2022.0,982.0,12940.0,456.2
Total,Population 6 years or older,Total,Value,Drenthe (PV),2023.0,988.0,13763.0,438.4
Total,Population 6 years or older,Total,Value,Overijssel (PV),2018.0,1049.0,13861.0,438.9
Total,Population 6 years or older,Total,Value,Overijssel (PV),2019.0,1023.0,14121.0,441.9
Total,Population 6 years or older,Total,Value,Overijssel (PV),2020.0,886.0,9539.0,377.6
Total,Population 6 years or older,Total,Value,Overijssel (PV),2021.0,956.0,10288.0,417.8
Total,Population 6 years or older,Total,Value,Overijssel (PV),2022.0,1045.0,11662.0,434.7
Total,Population 6 years or older,Total,Value,Overijssel (PV),2023.0,1054.0,12487.0,439.1
Total,Population 6 years or older,Total,Value,Flevoland (PV),2018.0,980.0,15685.0,465.4
Total,Population 6 years or older,Total,Value,Flevoland (PV),2019.0,930.0,15197.0,432.4
Total,Population 6 years or older,Total,Value,Flevoland (PV),2020.0,820.0,11011.0,376.1
Total,Population 6 years or older,Total,Value,Flevoland (PV),2021.0,853.0,11861.0,413.9
Total,Population 6 years or older,Total,Value,Flevoland (PV),2022.0,911.0,13128.0,432.5
Total,Population 6 years or older,Total,Value,Flevoland (PV),2023.0,936.0,13211.0,441.6
Total,Population 6 years or older,Total,Value,Gelderland (PV),2018.0,1044.0,13992.0,455.0
Total,Population 6 years or older,Total,Value,Gelderland (PV),2019.0,1016.0,13853.0,459.0
Total,Population 6 years or older,Total,Value,Gelderland (PV),2020.0,905.0,10000.0,381.6
Total,Population 6 years or older,Total,Value,Gelderland (PV),2021.0,947.0,10859.0,427.8
Total,Population 6 years or older,Total,Value,Gelderland (PV),2022.0,1046.0,12014.0,456.9
Total,Population 6 years or older,Total,Value,Gelderland (PV),2023.0,1036.0,12746.0,451.1
Total,Population 6 years or older,Total,Value,Utrecht (PV),2018.0,1056.0,13825.0,469.2
Total,Population 6 years or older,Total,Value,Utrecht (PV),2019.0,1026.0,14656.0,467.4
Total,Population 6 years or older,Total,Value,Utrecht (PV),2020.0,888.0,9726.0,392.2
Total,Population 6 years or older,Total,Value,Utrecht (PV),2021.0,937.0,10366.0,433.5
Total,Population 6 years or older,Total,Value,Utrecht (PV),2022.0,1021.0,11585.0,452.8
Total,Population 6 years or older,Total,Value,Utrecht (PV),2023.0,1029.0,12645.0,466.6
Total,Population 6 years or older,Total,Value,Noord-Holland (PV),2018.0,1006.0,12940.0,476.8
Total,Population 6 years or older,Total,Value,Noord-Holland (PV),2019.0,962.0,12186.0,474.7
Total,Population 6 years or older,Total,Value,Noord-Holland (PV),2020.0,820.0,8190.0,378.1
Total,Population 6 years or older,Total,Value,Noord-Holland (PV),2021.0,892.0,9164.0,439.6
Total,Population 6 years or older,Total,Value,Noord-Holland (PV),2022.0,947.0,10030.0,448.7
Total,Population 6 years or older,Total,Value,Noord-Holland (PV),2023.0,954.0,10450.0,452.8
Total,Population 6 years or older,Total,Value,Zuid-Holland (PV),2018.0,989.0,12028.0,457.6
Total,Population 6 years or older,Total,Value,Zuid-Holland (PV),2019.0,970.0,12137.0,459.2
Total,Population 6 years or older,Total,Value,Zuid-Holland (PV),2020.0,814.0,8307.0,377.6
Total,Population 6 years or older,Total,Value,Zuid-Holland (PV),2021.0,880.0,9066.0,425.8
Total,Population 6 years or older,Total,Value,Zuid-Holland (PV),2022.0,940.0,9737.0,430.3
Total,Population 6 years or older,Total,Value,Zuid-Holland (PV),2023.0,945.0,10580.0,448.8
Total,Population 6 years or older,Total,Value,Zeeland (PV),2018.0,984.0,11829.0,395.0
Total,Population 6 years or older,Total,Value,Zeeland (PV),2019.0,991.0,13652.0,423.7
Total,Population 6 years or older,Total,Value,Zeeland (PV),2020.0,858.0,9859.0,388.5
Total,Population 6 years or older,Total,Value,Zeeland (PV),2021.0,950.0,11526.0,430.3
Total,Population 6 years or older,Total,Value,Zeeland (PV),2022.0,1015.0,11507.0,452.2
Total,Population 6 years or older,Total,Value,Zeeland (PV),2023.0,974.0,12308.0,421.3
Total,Population 6 years or older,Total,Value,Noord-Brabant (PV),2018.0,1022.0,13102.0,440.9
Total,Population 6 years or older,Total,Value,Noord-Brabant (PV),2019.0,1005.0,12858.0,432.1
Total,Population 6 years or older,Total,Value,Noord-Brabant (PV),2020.0,904.0,8940.0,371.4
Total,Population 6 years or older,Total,Value,Noord-Brabant (PV),2021.0,939.0,9641.0,407.9
Total,Population 6 years or older,Total,Value,Noord-Brabant (PV),2022.0,1005.0,11227.0,440.4
Total,Population 6 years or older,Total,Value,Noord-Brabant (PV),2023.0,1023.0,12342.0,450.1
Total,Population 6 years or older,Total,Value,Limburg (PV),2018.0,1010.0,11925.0,426.9
Total,Population 6 years or older,Total,Value,Limburg (PV),2019.0,991.0,11440.0,415.3
Total,Population 6 years or older,Total,Value,Limburg (PV),2020.0,872.0,8771.0,367.3
Total,Population 6 years or older,Total,Value,Limburg (PV),2021.0,915.0,9265.0,414.0
Total,Population 6 years or older,Total,Value,Limburg (PV),2022.0,980.0,10487.0,420.4
Total,Population 6 years or older,Total,Value,Limburg (PV),2023.0,1011.0,10295.0,421.7
Total,Population 6 years or older,Passenger car (driver),Value,The Netherlands,2018.0,350.0,6628.0,149.2
Total,Population 6 years or older,Passenger car (driver),Value,The Netherlands,2019.0,346.0,6578.0,149.2
Total,Population 6 years or older,Passenger car (driver),Value,The Netherlands,2020.0,295.0,4811.0,113.7
Total,Population 6 years or older,Passenger car (driver),Value,The Netherlands,2021.0,300.0,5129.0,121.6
Total,Population 6 years or older,Passenger car (driver),Value,The Netherlands,2022.0,317.0,5524.0,130.4
Total,Population 6 years or older,Passenger car (driver),Value,The Netherlands,2023.0,333.0,5883.0,138.2
Total,Population 6 years or older,Passenger car (driver),Value,Groningen (PV),2018.0,319.0,6029.0,132.8
Total,Population 6 years or older,Passenger car (driver),Value,Groningen (PV),2019.0,312.0,6873.0,141.3
Total,Population 6 years or older,Passenger car (driver),Value,Groningen (PV),2020.0,284.0,5074.0,113.3
Total,Population 6 years or older,Passenger car (driver),Value,Groningen (PV),2021.0,306.0,5529.0,123.9
Total,Population 6 years or older,Passenger car (driver),Value,Groningen (PV),2022.0,292.0,5994.0,133.4
Total,Population 6 years or older,Passenger car (driver),Value,Groningen (PV),2023.0,302.0,5170.0,118.8
Total,Population 6 years or older,Passenger car (driver),Value,Fryslân (PV),2018.0,370.0,8034.0,156.4
Total,Population 6 years or older,Passenger car (driver),Value,Fryslân (PV),2019.0,356.0,8346.0,160.3
Total,Population 6 years or older,Passenger car (driver),Value,Fryslân (PV),2020.0,342.0,6377.0,130.6
Total,Population 6 years or older,Passenger car (driver),Value,Fryslân (PV),2021.0,334.0,6392.0,130.2
Total,Population 6 years or older,Passenger car (driver),Value,Fryslân (PV),2022.0,366.0,7261.0,158.5
Total,Population 6 years or older,Passenger car (driver),Value,Fryslân (PV),2023.0,371.0,7397.0,149.4
Total,Population 6 years or older,Passenger car (driver),Value,Drenthe (PV),2018.0,427.0,8840.0,180.3
Total,Population 6 years or older,Passenger car (driver),Value,Drenthe (PV),2019.0,421.0,7626.0,161.1
Total,Population 6 years or older,Passenger car (driver),Value,Drenthe (PV),2020.0,345.0,5287.0,120.1
Total,Population 6 years or older,Passenger car (driver),Value,Drenthe (PV),2021.0,351.0,5859.0,133.5
Total,Population 6 years or older,Passenger car (driver),Value,Drenthe (PV),2022.0,383.0,6649.0,148.9
Total,Population 6 years or older,Passenger car (driver),Value,Drenthe (PV),2023.0,404.0,7850.0,163.6
Total,Population 6 years or older,Passenger car (driver),Value,Overijssel (PV),2018.0,386.0,7269.0,155.7
Total,Population 6 years or older,Passenger car (driver),Value,Overijssel (PV),2019.0,355.0,6668.0,149.4
Total,Population 6 years or older,Passenger car (driver),Value,Overijssel (PV),2020.0,319.0,5160.0,122.0
Total,Population 6 years or older,Passenger car (driver),Value,Overijssel (PV),2021.0,327.0,5591.0,129.2
Total,Population 6 years or older,Passenger car (driver),Value,Overijssel (PV),2022.0,328.0,5920.0,132.2
Total,Population 6 years or older,Passenger car (driver),Value,Overijssel (PV),2023.0,363.0,6295.0,141.1
Total,Population 6 years or older,Passenger car (driver),Value,Flevoland (PV),2018.0,363.0,8381.0,165.7
Total,Population 6 years or older,Passenger car (driver),Value,Flevoland (PV),2019.0,353.0,7587.0,153.1
Total,Population 6 years or older,Passenger car (driver),Value,Flevoland (PV),2020.0,315.0,6320.0,124.0
Total,Population 6 years or older,Passenger car (driver),Value,Flevoland (PV),2021.0,291.0,6000.0,123.2
Total,Population 6 years or older,Passenger car (driver),Value,Flevoland (PV),2022.0,322.0,6829.0,141.4
Total,Population 6 years or older,Passenger car (driver),Value,Flevoland (PV),2023.0,353.0,7648.0,159.9
Total,Population 6 years or older,Passenger car (driver),Value,Gelderland (PV),2018.0,380.0,7395.0,160.9
Total,Population 6 years or older,Passenger car (driver),Value,Gelderland (PV),2019.0,383.0,7613.0,164.4
Total,Population 6 years or older,Passenger car (driver),Value,Gelderland (PV),2020.0,318.0,5458.0,123.8
Total,Population 6 years or older,Passenger car (driver),Value,Gelderland (PV),2021.0,328.0,5684.0,132.6
Total,Population 6 years or older,Passenger car (driver),Value,Gelderland (PV),2022.0,354.0,6112.0,142.3
Total,Population 6 years or older,Passenger car (driver),Value,Gelderland (PV),2023.0,362.0,6541.0,150.4
Total,Population 6 years or older,Passenger car (driver),Value,Utrecht (PV),2018.0,331.0,6829.0,146.2
Total,Population 6 years or older,Passenger car (driver),Value,Utrecht (PV),2019.0,324.0,7256.0,156.2
Total,Population 6 years or older,Passenger car (driver),Value,Utrecht (PV),2020.0,268.0,5017.0,112.7
Total,Population 6 years or older,Passenger car (driver),Value,Utrecht (PV),2021.0,277.0,5168.0,117.2
Total,Population 6 years or older,Passenger car (driver),Value,Utrecht (PV),2022.0,298.0,5588.0,128.4
Total,Population 6 years or older,Passenger car (driver),Value,Utrecht (PV),2023.0,303.0,5979.0,136.9
Total,Population 6 years or older,Passenger car (driver),Value,Noord-Holland (PV),2018.0,290.0,5916.0,136.7
Total,Population 6 years or older,Passenger car (driver),Value,Noord-Holland (PV),2019.0,281.0,5525.0,133.2
Total,Population 6 years or older,Passenger car (driver),Value,Noord-Holland (PV),2020.0,242.0,3875.0,96.1
Total,Population 6 years or older,Passenger car (driver),Value,Noord-Holland (PV),2021.0,244.0,4358.0,107.9
Total,Population 6 years or older,Passenger car (driver),Value,Noord-Holland (PV),2022.0,253.0,4667.0,111.5
Total,Population 6 years or older,Passenger car (driver),Value,Noord-Holland (PV),2023.0,262.0,4844.0,116.3
Total,Population 6 years or older,Passenger car (driver),Value,Zuid-Holland (PV),2018.0,320.0,5892.0,145.9
Total,Population 6 years or older,Passenger car (driver),Value,Zuid-Holland (PV),2019.0,315.0,5773.0,143.0
Total,Population 6 years or older,Passenger car (driver),Value,Zuid-Holland (PV),2020.0,251.0,4288.0,106.6
Total,Population 6 years or older,Passenger car (driver),Value,Zuid-Holland (PV),2021.0,262.0,4358.0,111.8
Total,Population 6 years or older,Passenger car (driver),Value,Zuid-Holland (PV),2022.0,277.0,4667.0,120.5
Total,Population 6 years or older,Passenger car (driver),Value,Zuid-Holland (PV),2023.0,289.0,5014.0,130.4
Total,Population 6 years or older,Passenger car (driver),Value,Zeeland (PV),2018.0,361.0,6651.0,136.5
Total,Population 6 years or older,Passenger car (driver),Value,Zeeland (PV),2019.0,371.0,7529.0,157.5
Total,Population 6 years or older,Passenger car (driver),Value,Zeeland (PV),2020.0,316.0,5047.0,112.9
Total,Population 6 years or older,Passenger car (driver),Value,Zeeland (PV),2021.0,341.0,6624.0,138.5
Total,Population 6 years or older,Passenger car (driver),Value,Zeeland (PV),2022.0,359.0,6038.0,133.3
